slice,alias,plant_number,leaf_number,all,count,total_area,scan_date,notes,USDA_symbol,petiole,plot
ermo-p4-l3,ERMO,4,3,FALSE,4,9.968,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p5-all,ERMO,5,NA,TRUE,4,4.496,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p5-l1,ERMO,5,1,FALSE,6,6.431,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p5-l2,ERMO,5,2,FALSE,6,3.092,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p5-l3,ERMO,5,3,FALSE,6,3.682,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p6-all,ERMO,6,NA,TRUE,27,40.864,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p6-l1,ERMO,6,1,FALSE,4,11.098,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p6-l2,ERMO,6,2,FALSE,7,6.408,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p6-l3,ERMO,6,3,FALSE,3,3.323,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p7-all,ERMO,7,NA,TRUE,15,17.752,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p7-l1,ERMO,7,1,FALSE,6,7.093,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p7-l2,ERMO,7,2,FALSE,5,4.385,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p7-l3,ERMO,7,3,FALSE,7,4.617,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p8-all,ERMO,8,NA,TRUE,14,18.503,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p8-l1,ERMO,8,1,FALSE,5,5.883,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p8-l2,ERMO,8,2,FALSE,1,4.968,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p8-l3,ERMO,8,3,FALSE,1,4.679,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
lubi-p1-all,LUBI,1,NA,TRUE,38,13.419,2017-04-06,with_petiole,LUBI,TRUE,non_plot
lubi-p1-l1,LUBI,1,1,FALSE,1,2.07,2017-04-06,with_petiole,LUBI,TRUE,non_plot
lubi-p1-l2,LUBI,1,2,FALSE,1,1.178,2017-04-06,with_petiole,LUBI,TRUE,non_plot
lubi-p1-l3,LUBI,1,3,FALSE,1,1.149,2017-04-06,with_petiole,LUBI,TRUE,non_plot
lubi-p2-ALL,LUBI,2,NA,TRUE,25,20.119,2017-04-06,with_petiole,LUBI,TRUE,non_plot
