species,height
Bromus hordeaceus,40
Bromus hordeaceus,41
Bromus hordeaceus,55
Bromus hordeaceus,49
Bromus hordeaceus,42
Bromus hordeaceus,51
Bromus hordeaceus,52
Bromus hordeaceus,53
Bromus hordeaceus,48
Bromus hordeaceus,32
Bromus hordeaceus,31
Bromus hordeaceus,41
Bromus hordeaceus,27
Bromus hordeaceus,51
Bromus hordeaceus,49
Bromus hordeaceus,45
Bromus hordeaceus,46
Bromus hordeaceus,46
Bromus hordeaceus,46
Bromus hordeaceus,51
Bromus hordeaceus,50
Bromus hordeaceus,50
Bromus hordeaceus,52
Bromus hordeaceus,40
Bromus hordeaceus,35
Bromus hordeaceus,50
Bromus hordeaceus,60
Bromus hordeaceus,52
Bromus hordeaceus,55
Bromus hordeaceus,59
Calystegia collina,15
Calystegia collina,15
Calystegia collina,13
Calystegia collina,14
Calystegia collina,20
Calystegia collina,9
Calystegia collina,10
Calystegia collina,14
Calystegia collina,23
Calystegia collina,18
Calystegia collina,10
Calystegia collina,13
Calystegia collina,17
Calystegia collina,17
Calystegia collina,10
Calystegia collina,18
Calystegia collina,15
Calystegia collina,10
Calystegia collina,11
Calystegia collina,11
Calystegia collina,19
Calystegia collina,11
Calystegia collina,8
Calystegia collina,6
Calystegia collina,4
Calystegia collina,4
Calystegia collina,4
Calystegia collina,3
Calystegia collina,4
Calystegia collina,7
Calystegia collina,11
Calystegia collina,8
Calystegia collina,7
Calystegia collina,9
Calystegia collina,9
Calystegia collina,10
Calystegia collina,9
Calystegia collina,6
Calystegia collina,5
Calystegia collina,4
Triteleia ixioides,30
Triteleia ixioides,26
Triteleia ixioides,23
Triteleia ixioides,25
Triteleia ixioides,21
Triteleia ixioides,14
Triteleia ixioides,30
Triteleia ixioides,23
Triteleia ixioides,20
Triteleia ixioides,25
Triteleia ixioides,37
Triteleia ixioides,26
Triteleia ixioides,33
Triteleia ixioides,18
Triteleia ixioides,26
Triteleia ixioides,22
Triteleia ixioides,15
Triteleia ixioides,22
Triteleia ixioides,23
Triteleia ixioides,20
Triteleia ixioides,17
Triteleia ixioides,30
Triteleia ixioides,41
Triteleia ixioides,37
Triteleia ixioides,18
Triteleia ixioides,29
Triteleia ixioides,33
Triteleia ixioides,23
Triteleia ixioides,27
Triteleia ixioides,30
Triteleia ixioides,24
Triteleia ixioides,20
Triteleia ixioides,20
Triteleia ixioides,22
Triteleia ixioides,20
Triteleia ixioides,22
Triteleia ixioides,15
Triteleia ixioides,17
Triteleia ixioides,27
Triteleia ixioides,25
Carduus pycnocephalus,187
Carduus pycnocephalus,118
Carduus pycnocephalus,160
Carduus pycnocephalus,186
Carduus pycnocephalus,158
Carduus pycnocephalus,158
Carduus pycnocephalus,147
Carduus pycnocephalus,157
Carduus pycnocephalus,144
Carduus pycnocephalus,142
Carduus pycnocephalus,98
Carduus pycnocephalus,100
Carduus pycnocephalus,115
Carduus pycnocephalus,112
Carduus pycnocephalus,100
Carduus pycnocephalus,94
Carduus pycnocephalus,84
Carduus pycnocephalus,92
Carduus pycnocephalus,106
Carduus pycnocephalus,122
Carduus pycnocephalus,87
Carduus pycnocephalus,95
Carduus pycnocephalus,109
Carduus pycnocephalus,88
Carduus pycnocephalus,124
Carduus pycnocephalus,70
Carduus pycnocephalus,82
Carduus pycnocephalus,99
Carduus pycnocephalus,100
Carduus pycnocephalus,110
Carduus pycnocephalus,88
Carduus pycnocephalus,72
Carduus pycnocephalus,107
Carduus pycnocephalus,114
Carduus pycnocephalus,143
Carduus pycnocephalus,103
Carduus pycnocephalus,101
Carduus pycnocephalus,118
Carduus pycnocephalus,99
Carduus pycnocephalus,77
Chlorogalum pomeridianum,17
Chlorogalum pomeridianum,26
Chlorogalum pomeridianum,12
Chlorogalum pomeridianum,23
Chlorogalum pomeridianum,25
Chlorogalum pomeridianum,9
Chlorogalum pomeridianum,13
Chlorogalum pomeridianum,16
Chlorogalum pomeridianum,14
Chlorogalum pomeridianum,13
Chlorogalum pomeridianum,11
Chlorogalum pomeridianum,17
Chlorogalum pomeridianum,16
Chlorogalum pomeridianum,8
Chlorogalum pomeridianum,20
Chlorogalum pomeridianum,17
Chlorogalum pomeridianum,17
Chlorogalum pomeridianum,16
